"Date","Cause","Casualties","RegisterNumber","Damage","Smoke","CO"
"2022-1-1 19:59","Other",0,3272239,39124,1,1
"2022-1-1 19:7","Cooking",0,1710315,98589,1,1
"2022-1-1 1:1","Electrical Fault",0,5371079,54050,1,1
"2022-1-1 20:10","Heating",0,1509133,57796,1,1
"2022-1-1 20:39","Other",0,493700,56272,1,1
"2022-1-1 20:59","Other",0,4883758,43918,1,0
"2022-1-1 21:16","Cooking",0,1196694,79114,1,0
"2022-1-1 21:16","Heating",0,6442119,106474,0,1
"2022-1-1 21:28","Heating",0,307149,49327,0,1
"2022-1-1 21:42","Heating",0,8522868,41794,1,1
"2022-1-1 21:54","Heating",0,3499495,34397,1,1
"2022-1-1 21:54","Heating",0,9672588,49857,1,1
"2022-1-1 22:10","Heating",0,9304967,83126,1,0
"2022-1-1 22:26","Heating",0,8703255,34192,1,1
"2022-1-1 23:20","Heating",0,1043045,108047,0,0
"2022-1-1 23:25","Heating",0,3098794,40904,1,0
"2022-1-1 23:33","Other",0,3668885,34793,1,1
"2022-1-1 23:4","Heating",0,1019081,50696,1,1
"2022-1-1 23:5","Heating",0,1072094,48126,1,0
"2022-1-1 4:10","Other",0,2214388,58294,1,1
"2022-1-1 4:20","Other",0,3445868,61675,1,1
"2022-1-1 4:25","Heating",0,7357253,44144,1,1
"2022-1-1 4:30","Other",0,5049725,59859,0,1
"2022-1-1 5:46","Electrical Fault",0,6905656,34177,1,0
"2022-1-1 6:14","Heating",0,9338019,90319,1,0
"2022-1-1 6:23","Cooking",0,5183844,35302,1,1
"2022-1-1 6:23","Heating",0,8460773,82361,1,1
"2022-1-1 6:25","Heating",0,7171578,128418,0,0
"2022-1-1 6:26","Other",0,2590141,67583,0,1
"2022-1-1 6:34","Other",0,9983720,69404,0,0
"2022-1-1 6:36","Heating",0,1641040,57320,1,1
"2022-1-1 6:36","Other",0,5702030,83054,1,0
"2022-1-1 6:49","Cooking",0,9971121,54113,1,1
"2022-1-1 6:53","Heating",0,39366,45038,1,0
"2022-1-1 7:12","Heating",0,2223995,49263,1,0
"2022-1-1 7:21","Other",0,1713728,32411,1,1
"2022-1-1 7:29","Heating",0,293697,50062,1,1
"2022-1-1 7:35","Heating",0,3410498,124287,1,0
"2022-1-1 7:46","Cooking",0,6370526,40437,1,1
"2022-1-1 8:25","Heating",0,773679,68732,0,0
"2022-1-1 8:4","Electrical Fault",0,8597629,43488,0,1
"2022-1-1 8:6","Electrical Fault",0,7703286,37110,1,1
"2022-1-1 8:7","Heating",0,7653148,103424,0,1
"2022-1-1 9:15","Heating",0,3285088,53155,1,0
"2022-1-1 9:31","Heating",0,2978069,96901,1,0
"2022-1-1 9:47","Heating",0,7234324,48931,1,0
"2022-1-1 9:59","Heating",0,6481083,51706,1,1
"2022-1-10 0:1","Heating",0,3221978,29304,1,1
"2022-1-10 0:25","Heating",0,9057064,41742,1,1
"2022-1-10 10:0","Electrical Fault",0,4202153,49987,1,1
"2022-1-10 10:30","Heating",0,8708531,38278,1,0
"2022-1-10 10:52","Heating",0,1703417,48274,1,0
"2022-1-10 10:56","Other",0,4221485,50214,1,0
"2022-1-10 11:28","Electrical Fault",0,5416670,43957,1,1
"2022-1-10 11:31","Heating",0,7918496,41030,1,1
"2022-1-10 11:50","Other",0,1024218,95474,1,1
"2022-1-10 12:12","Other",0,9481924,82092,1,0
"2022-1-10 12:39","Heating",0,7063112,38470,1,1
"2022-1-10 12:46","Cooking",0,8705334,37450,1,1
"2022-1-10 12:57","Cooking",0,4570325,114754,1,0
"2022-1-10 12:57","Cooking",0,8689590,101716,1,1
"2022-1-10 12:9","Cooking",0,5584153,40553,1,1
"2022-1-10 13:2","Heating",0,1835231,56568,0,0
"2022-1-10 13:22","Heating",0,740851,51834,1,1
"2022-1-10 13:51","Cooking",0,6420834,64528,1,1
"2022-1-10 13:6","Other",0,7768695,57169,0,0
"2022-1-10 13:8","Other",0,3060863,59539,0,1
"2022-1-10 14:28","Other",0,1932101,46567,1,0
"2022-1-10 14:44","Heating",0,1705542,56239,1,1
"2022-1-10 15:26","Heating",0,6732485,52501,1,1
"2022-1-10 15:32","Heating",0,3575645,90006,1,0
"2022-1-10 15:36","Heating",0,8676968,38378,1,0
"2022-1-10 15:38","Other",0,260799,45747,1,1
"2022-1-10 15:43","Heating",0,3767653,48846,1,0
"2022-1-10 15:44","Other",0,4635460,67899,1,0
"2022-1-10 15:46","Other",0,3709885,41246,1,1
"2022-1-10 15:6","Electrical Fault",0,7706604,32910,1,1
"2022-1-10 16:10","Heating",0,2056907,69816,0,0
"2022-1-10 16:2","Heating",0,8666118,119924,0,1
"2022-1-10 16:29","Electrical Fault",0,3619719,42082,1,1
"2022-1-10 16:42","Heating",0,8867552,60248,0,0
"2022-1-10 16:47","Heating",0,130928,152005,0,0
"2022-1-10 17:17","Heating",0,9500658,41721,1,1
"2022-1-10 17:18","Other",0,3820359,47999,1,0
"2022-1-10 17:19","Electrical Fault",0,1698756,56870,0,1
"2022-1-10 17:25","Cooking",0,4490576,37123,1,1
"2022-1-10 17:26","Electrical Fault",0,2264568,60180,1,0
"2022-1-10 17:36","Heating",0,8248720,114905,1,0
"2022-1-10 17:48","Electrical Fault",0,604880,48884,1,1
"2022-1-10 17:50","Heating",0,4262491,85652,1,1
"2022-1-10 17:7","Heating",0,1013457,41496,1,0
"2022-1-10 18:12","Heating",0,3083826,65133,1,0
"2022-1-10 18:12","Electrical Fault",0,8913391,63114,1,0
"2022-1-10 18:16","Heating",0,4420920,111962,0,0
"2022-1-10 18:22","Other",0,4666495,50053,1,0
"2022-1-10 18:47","Heating",0,2954475,118395,0,0
"2022-1-10 18:50","Electrical Fault",0,594827,59529,1,0
"2022-1-10 18:55","Cooking",0,3600575,117401,1,0
"2022-1-10 19:0","Heating",0,5042343,34014,1,1
"2022-1-10 19:10","Heating",0,1817361,67750,0,1
"2022-1-10 19:15","Cooking",0,1486384,62442,1,1
"2022-1-10 19:18","Heating",0,2142988,56389,1,0
"2022-1-10 19:2","Electrical Fault",0,3646523,104060,1,0
"2022-1-10 19:23","Electrical Fault",0,7335579,102960,1,0
"2022-1-10 19:28","Cooking",0,4195327,50175,1,1
"2022-1-10 19:29","Electrical Fault",0,9037839,55636,1,1
"2022-1-10 19:40","Heating",0,895557,115952,1,0
"2022-1-10 19:47","Cooking",0,8404036,37258,1,0
"2022-1-10 19:54","Heating",0,1327791,56496,1,0
"2022-1-10 1:3","Electrical Fault",0,7293960,59655,0,0
"2022-1-10 1:35","Electrical Fault",0,2104575,49757,1,0
"2022-1-10 1:41","Heating",0,8844269,95289,0,0
"2022-1-10 1:7","Heating",0,4815637,56281,1,1
"2022-1-10 20:0","Heating",0,1964035,44076,1,1
"2022-1-10 20:15","Cooking",0,7367992,47263,1,0
"2022-1-10 20:23","Heating",0,3768673,65243,1,1
"2022-1-10 20:30","Electrical Fault",0,7769585,119486,1,1
"2022-1-10 20:33","Heating",0,866864,66260,0,0
"2022-1-10 20:4","Heating",0,1512042,102589,1,0
"2022-1-10 20:6","Heating",0,7259833,59252,1,0
"2022-1-10 20:7","Heating",0,6443977,62897,1,0
"2022-1-10 21:17","Heating",0,1738653,64146,0,0
"2022-1-10 21:32","Cooking",0,562563,34951,1,1
"2022-1-10 21:45","Heating",0,1320229,59047,0,1
"2022-1-10 22:5","Cooking",0,1189615,102025,0,0
"2022-1-10 22:54","Heating",0,1956843,60841,0,1
"2022-1-10 23:40","Electrical Fault",0,6013502,32751,1,1
"2022-1-10 23:51","Heating",0,4107399,123282,0,0
"2022-1-10 2:22","Electrical Fault",0,618352,44335,1,1
"2022-1-10 2:47","Heating",0,7213791,56169,1,0
"2022-1-10 3:2","Electrical Fault",0,6335582,46250,1,1
"2022-1-10 3:6","Electrical Fault",0,337268,47975,1,0
"2022-1-10 4:0","Other",0,4260554,54962,1,0
"2022-1-10 4:10","Heating",0,12752,68282,0,1
"2022-1-10 4:44","Cooking",0,9462125,53553,0,0
"2022-1-10 4:47","Other",0,620522,100756,0,0
"2022-1-10 4:47","Heating",0,7601102,38857,1,1
"2022-1-10 5:33","Other",0,9370279,38837,1,1
"2022-1-10 5:8","Other",0,3503344,129471,1,0
"2022-1-10 6:2","Cooking",0,2227377,49292,1,0
"2022-1-10 6:36","Other",0,1697523,55897,0,1
"2022-1-10 6:40","Cooking",0,6764275,96539,1,1
"2022-1-10 6:49","Heating",0,4461363,43871,1,1
"2022-1-10 6:55","Cooking",0,7084458,93664,1,1
"2022-1-10 7:1","Heating",0,1246989,48877,1,0
"2022-1-10 7:38","Cooking",2,8173047,78586,0,1
"2022-1-10 7:41","Heating",0,762555,72392,0,0
"2022-1-10 7:50","Cooking",0,3763318,50101,1,0
"2022-1-10 7:51","Heating",0,6149283,115542,0,0
"2022-1-10 7:59","Heating",0,2116624,50363,1,1
"2022-1-10 8:17","Cooking",0,5171010,37591,1,1
"2022-1-10 8:24","Other",0,7025087,80357,0,1
"2022-1-10 8:26","Heating",0,7874245,125465,0,0
"2022-1-10 8:33","Cooking",0,830642,69094,0,1
"2022-1-10 9:21","Heating",0,9560793,115948,1,0
"2022-1-10 9:24","Heating",5,998026,69803,0,0
"2022-1-10 9:34","Heating",2,5274224,98492,1,1
"2022-1-11 0:0","Heating",0,1803180,81408,1,1
"2022-1-11 0:15","Cooking",0,7797088,38605,1,1
"2022-1-11 0:43","Electrical Fault",0,9885207,91713,0,1
"2022-1-11 10:23","Heating",0,7526499,54693,1,0
"2022-1-11 10:36","Other",0,7224245,109659,1,0
"2022-1-11 10:38","Heating",0,411178,94217,1,1
"2022-1-11 10:48","Electrical Fault",0,6863991,44389,1,1
"2022-1-11 10:56","Other",0,67878,120696,0,0
"2022-1-11 10:7","Heating",0,1551161,35506,1,1
"2022-1-11 11:28","Cooking",0,155073,58165,1,1
"2022-1-11 11:32","Cooking",0,2295251,67592,1,0
"2022-1-11 11:5","Other",0,7556965,44746,1,0
"2022-1-11 11:57","Other",0,8849745,55097,0,1
"2022-1-11 12:18","Other",0,8579795,45510,1,1
"2022-1-11 12:19","Other",0,3164650,51844,1,1
"2022-1-11 12:26","Heating",0,9854582,64327,1,0
"2022-1-11 12:8","Heating",0,4793089,56289,1,1
"2022-1-11 13:1","Other",0,9724963,50152,0,1
"2022-1-11 13:17","Electrical Fault",0,6387503,62385,0,1
"2022-1-11 13:2","Electrical Fault",0,7781326,33671,1,1
"2022-1-11 13:33","Heating",0,4659641,53178,1,0
"2022-1-11 13:36","Other",0,4350674,72003,0,0
"2022-1-11 13:52","Other",0,423507,56338,1,1
"2022-1-11 13:8","Other",0,825339,51614,1,0
"2022-1-11 14:17","Heating",0,2051938,39507,1,1
"2022-1-11 14:44","Heating",0,9541608,34329,1,1
"2022-1-11 14:51","Heating",0,1957259,48797,1,0
"2022-1-11 15:20","Electrical Fault",0,8951718,40818,1,1
"2022-1-11 15:39","Cooking",0,5371759,49079,1,1
"2022-1-11 15:6","Electrical Fault",0,3655111,49570,0,1
"2022-1-11 16:27","Other",0,4459111,98996,0,0
"2022-1-11 16:3","Cooking",0,9488911,50306,1,1
"2022-1-11 16:39","Heating",0,6739421,37154,1,1
"2022-1-11 16:41","Heating",0,9621321,35367,1,1
"2022-1-11 16:44","Other",0,8311928,36170,1,1
"2022-1-11 16:53","Electrical Fault",0,7296920,42562,1,1
"2022-1-11 16:8","Heating",0,1844902,38869,0,1
"2022-1-11 17:37","Heating",0,856132,38385,1,1
"2022-1-11 17:47","Heating",0,5625239,60522,0,0
"2022-1-11 17:53","Heating",0,7181271,98714,1,1
"2022-1-11 18:10","Heating",0,1752311,44871,1,0
"2022-1-11 18:21","Heating",0,7177526,48169,1,1
"2022-1-11 18:38","Heating",0,7135664,93516,1,0
"2022-1-11 18:44","Heating",0,1515242,66433,0,0
"2022-1-11 18:57","Heating",0,7818341,85897,1,1
"2022-1-11 19:21","Heating",0,5120745,55287,1,0
"2022-1-11 19:28","Heating",0,6126862,73125,0,0
"2022-1-11 19:37","Cooking",0,1290363,53816,1,0
"2022-1-11 19:4","Other",0,7282049,58231,1,0
"2022-1-11 19:53","Heating",0,548706,37184,1,1
"2022-1-11 1:0","Other",0,2743480,61985,0,1
"2022-1-11 1:28","Other",0,4488605,48863,1,0
"2022-1-11 1:40","Heating",0,9056082,48602,0,1
"2022-1-11 20:53","Other",0,8316206,39393,1,1
"2022-1-11 21:16","Electrical Fault",0,9575859,53871,1,0
"2022-1-11 21:22","Heating",0,4439969,58614,0,1
"2022-1-11 21:40","Other",0,1790048,55660,1,1
"2022-1-11 21:40","Other",0,4590896,57220,1,1
"2022-1-11 21:46","Other",0,7697292,34976,1,1
"2022-1-11 21:50","Heating",0,68126,106296,0,0
"2022-1-11 21:6","Heating",0,6288732,44519,1,0
"2022-1-11 22:21","Other",0,2992522,42432,1,1
"2022-1-11 23:16","Heating",0,9881326,102517,0,1
"2022-1-11 23:35","Electrical Fault",0,4637462,53133,1,1
"2022-1-11 23:5","Heating",0,3645536,58219,1,1
"2022-1-11 2:0","Heating",0,5822598,57592,1,0
"2022-1-11 2:18","Electrical Fault",0,1141332,64095,1,0
"2022-1-11 2:2","Heating",0,6894556,116870,1,0
"2022-1-11 3:49","Electrical Fault",0,5526701,57047,0,0
"2022-1-11 3:51","Other",0,3419343,62041,1,1
"2022-1-11 4:31","Other",0,942672,29155,1,1
"2022-1-11 4:9","Other",0,5868860,140032,0,0
"2022-1-11 5:51","Other",0,5929422,67841,0,1
"2022-1-11 6:22","Heating",0,4727254,54921,0,1
"2022-1-11 6:23","Other",0,3970853,69009,1,0
"2022-1-11 6:31","Heating",1,774825,120607,0,0
"2022-1-11 6:32","Heating",0,6437648,37653,1,0
"2022-1-11 6:42","Heating",0,7951746,80108,1,0
"2022-1-11 6:43","Electrical Fault",0,365574,73315,0,0
"2022-1-11 6:52","Cooking",0,821318,90454,0,1
"2022-1-11 6:8","Heating",0,7216162,100951,1,0
"2022-1-11 7:10","Heating",0,6533870,52946,1,0
"2022-1-11 7:20","Electrical Fault",0,2031179,50721,1,0
"2022-1-11 7:33","Other",0,3421283,51943,1,0
"2022-1-11 7:35","Cooking",0,958789,41074,1,1
"2022-1-11 7:51","Cooking",0,9216262,50184,1,0
"2022-1-11 8:2","Other",0,1922942,59492,0,0
"2022-1-11 8:30","Other",0,8263067,50089,1,1
"2022-1-11 8:5","Heating",0,6248353,58619,0,1
"2022-1-11 8:51","Heating",0,1215260,138137,0,0
"2022-1-11 9:12","Cooking",0,612646,56510,1,0
"2022-1-11 9:15","Heating",3,3508986,114218,0,1
"2022-1-11 9:40","Heating",3,906353,57116,0,1
"2022-1-11 9:42","Heating",3,8756174,92368,0,1
"2022-1-11 9:48","Other",0,1527295,96280,1,1
"2022-1-12 0:0","Heating",0,6091979,38544,1,1
"2022-1-12 0:27","Heating",0,8833844,39487,1,1
"2022-1-12 0:57","Heating",0,7559358,62329,0,0
"2022-1-12 10:13","Electrical Fault",0,4819685,42734,1,1
"2022-1-12 10:2","Cooking",0,2298286,56567,1,1
"2022-1-12 10:30","Cooking",0,121127,50417,1,0
"2022-1-12 11:30","Heating",0,7782499,34690,1,1
"2022-1-12 11:34","Other",0,2074774,51851,1,0
"2022-1-12 12:11","Other",0,2009867,46932,1,0
"2022-1-12 12:44","Other",0,7597353,32257,1,1
"2022-1-12 12:50","Heating",0,5813127,42095,1,0
"2022-1-12 13:10","Cooking",0,2634527,55437,0,1
"2022-1-12 13:13","Other",0,9293300,92468,1,1
"2022-1-12 13:15","Heating",3,4151242,41851,1,0
"2022-1-12 13:4","Heating",0,7175543,114691,1,0
"2022-1-12 13:50","Heating",0,9810671,35043,1,1
"2022-1-12 13:55","Cooking",0,4224578,50846,0,1
"2022-1-12 14:27","Heating",0,3233665,48336,1,1
"2022-1-12 14:34","Other",0,27151,73622,0,1
"2022-1-12 14:36","Electrical Fault",0,3505859,50344,1,0
"2022-1-12 14:36","Heating",0,6705709,47369,1,1
"2022-1-12 14:50","Heating",0,6783483,64084,0,1
"2022-1-12 14:59","Other",0,8949907,126819,1,0
"2022-1-12 15:14","Heating",0,3671210,31155,1,1
"2022-1-12 15:41","Cooking",0,1142406,77992,0,0
"2022-1-12 15:50","Heating",4,5979339,59201,0,0
"2022-1-12 15:9","Heating",2,2050469,112747,0,0
"2022-1-12 16:10","Electrical Fault",0,2961794,55309,1,1
"2022-1-12 16:18","Heating",0,5876340,52297,1,1
"2022-1-12 16:22","Other",0,9891913,58124,1,1
"2022-1-12 16:27","Other",0,4000548,37830,1,1
"2022-1-12 16:39","Heating",0,6284404,49783,1,1
"2022-1-12 16:45","Other",0,277028,46379,1,1
"2022-1-12 16:59","Heating",0,1317933,49315,1,0
"2022-1-12 17:32","Cooking",0,3352795,52738,1,0
"2022-1-12 17:32","Heating",0,9350053,64833,1,1
"2022-1-12 17:33","Cooking",0,9458735,36267,1,1
"2022-1-12 17:50","Heating",0,175785,109040,1,0
"2022-1-12 17:52","Electrical Fault",0,943060,47898,0,1
"2022-1-12 18:22","Cooking",0,3364300,41350,1,0
"2022-1-12 18:30","Other",0,7496934,47988,1,0
"2022-1-12 18:4","Electrical Fault",0,7834578,53668,1,0
"2022-1-12 18:43","Other",0,1340657,88437,1,0
"2022-1-12 18:51","Electrical Fault",0,1424468,56690,1,0
"2022-1-12 19:18","Heating",0,7926349,56114,1,0
"2022-1-12 19:30","Heating",0,6678141,78794,0,0
"2022-1-12 19:30","Heating",0,9857010,34839,1,0
"2022-1-12 19:46","Heating",0,8276153,72035,1,1
"2022-1-12 19:47","Heating",0,5875904,37749,1,1
"2022-1-12 19:48","Heating",0,6171470,56657,0,0
"2022-1-12 1:16","Heating",0,523413,113357,0,0
"2022-1-12 1:17","Heating",0,7418331,32223,1,1
"2022-1-12 1:24","Heating",0,7887998,57078,0,1
"2022-1-12 1:34","Heating",0,9253719,40034,1,0
"2022-1-12 20:14","Heating",2,5601817,125620,0,0
"2022-1-12 20:24","Heating",0,7838587,40747,1,1
"2022-1-12 20:38","Heating",0,5394473,48208,1,0
"2022-1-12 20:42","Heating",0,4408437,38437,1,1
"2022-1-12 20:48","Other",0,6382597,60333,0,1
"2022-1-12 21:15","Heating",0,9401303,143258,0,0
"2022-1-12 21:30","Heating",0,1101323,58062,1,1
"2022-1-12 21:33","Other",0,6490294,119354,1,0
"2022-1-12 22:12","Heating",0,7879410,41486,1,1
"2022-1-12 22:24","Other",0,9692544,79541,1,0
"2022-1-12 23:20","Heating",0,4688327,67297,0,0
"2022-1-12 23:23","Heating",0,1543492,68206,0,1
"2022-1-12 23:32","Heating",0,262467,48453,1,0
"2022-1-12 3:42","Heating",0,7126788,57756,1,1
"2022-1-12 3:43","Heating",0,6094214,54538,1,1
"2022-1-12 5:41","Other",0,8858979,32761,1,1
"2022-1-12 5:47","Heating",0,6564438,61108,1,1
"2022-1-12 5:48","Other",0,5181998,57474,1,0
"2022-1-12 5:55","Electrical Fault",0,1091557,54871,1,1
"2022-1-12 6:10","Cooking",0,1255479,62041,1,0
"2022-1-12 6:20","Heating",0,4373005,58432,1,0
"2022-1-12 6:21","Other",0,686902,52526,0,1
"2022-1-12 6:21","Cooking",0,7087532,99241,1,1
"2022-1-12 6:43","Cooking",0,1223570,91395,1,0
"2022-1-12 6:53","Other",0,1753585,48972,1,1
"2022-1-12 7:13","Heating",0,9166909,46694,1,1
"2022-1-12 7:15","Heating",0,6915474,47426,1,1
"2022-1-12 7:15","Heating",0,9507523,73622,1,1
"2022-1-12 7:27","Cooking",0,4698831,60942,0,1
"2022-1-12 7:38","Heating",0,2090419,155397,0,0
"2022-1-12 7:45","Cooking",0,6165023,70338,0,0
"2022-1-12 7:45","Electrical Fault",0,7474889,38283,1,1
"2022-1-12 8:14","Other",0,4802640,33616,1,1
"2022-1-12 8:18","Heating",0,4137429,98939,1,0
"2022-1-12 8:36","Other",0,3020936,107837,1,0
"2022-1-12 8:40","Heating",0,6744335,65589,1,0
"2022-1-12 9:25","Heating",0,7833152,39988,1,1
"2022-1-12 9:30","Heating",0,7820195,50954,1,0
"2022-1-12 9:37","Heating",0,5674644,59281,1,0
"2022-1-12 9:52","Other",0,4513628,129563,0,0
"2022-1-12 9:58","Heating",0,5651318,88765,1,1
"2022-1-12 9:6","Other",0,3332974,31964,1,1
"2022-1-13 0:29","Heating",0,1614958,92457,1,0
"2022-1-13 0:47","Other",0,3535690,51942,1,1
"2022-1-13 10:12","Cooking",0,3183642,112754,0,0
"2022-1-13 10:14","Heating",0,646303,50829,1,0
"2022-1-13 10:16","Other",0,2105287,41386,1,1
"2022-1-13 10:16","Other",0,8910167,48453,1,1
"2022-1-13 10:23","Other",0,6382542,61594,0,1
"2022-1-13 10:25","Heating",2,2279253,68194,0,0
"2022-1-13 10:50","Other",0,1329437,60214,1,0
"2022-1-13 10:9","Other",0,3792397,60156,0,1
"2022-1-13 11:2","Other",0,980504,90531,0,1
"2022-1-13 11:21","Other",0,4220220,55360,1,0
"2022-1-13 12:10","Cooking",0,1157086,76180,0,0
"2022-1-13 12:16","Heating",0,9934247,34154,1,1
"2022-1-13 12:21","Heating",0,1348327,49616,1,0
"2022-1-13 12:29","Heating",0,5507070,78688,0,1
"2022-1-13 12:35","Other",0,6352604,35222,1,1
"2022-1-13 12:49","Other",0,5680173,43857,1,1
"2022-1-13 12:51","Heating",0,7602766,143889,0,0
"2022-1-13 13:11","Heating",0,5248891,85471,1,1
"2022-1-13 13:13","Heating",0,1304260,47354,1,0
"2022-1-13 13:28","Heating",0,1165226,90741,1,1
"2022-1-13 13:3","Heating",0,9567782,67890,1,0
"2022-1-13 13:4","Heating",0,7410860,51323,1,1
"2022-1-13 13:46","Heating",0,5797391,67224,1,1
"2022-1-13 13:54","Other",0,5895042,47412,0,1
"2022-1-13 14:13","Other",0,8697533,118534,0,0
"2022-1-13 14:21","Other",0,1187990,51851,1,1
"2022-1-13 14:27","Cooking",0,3216376,52157,1,0
"2022-1-13 14:28","Other",0,2706566,65283,0,0
"2022-1-13 14:35","Heating",0,6080727,69935,0,0
"2022-1-13 14:36","Heating",0,3097655,55791,0,1
"2022-1-13 14:41","Heating",0,2958376,61014,1,1
"2022-1-13 14:45","Other",0,1341095,61317,1,1
"2022-1-13 14:52","Heating",0,1870316,63048,1,0
"2022-1-13 15:24","Heating",0,8533458,115121,1,0
"2022-1-13 15:30","Other",0,3046483,66251,1,0
"2022-1-13 15:41","Heating",0,1392803,52230,1,0
"2022-1-13 15:59","Heating",0,1492662,50027,1,1
"2022-1-13 16:22","Other",0,13894,54662,1,1
"2022-1-13 16:34","Other",0,8741626,125857,1,0
"2022-1-13 16:35","Electrical Fault",0,5985755,52560,0,1
"2022-1-13 16:5","Other",0,1655261,66710,0,1
"2022-1-13 16:50","Cooking",0,174705,42003,1,1
"2022-1-13 16:55","Heating",0,9053460,90734,1,0
"2022-1-13 16:6","Heating",0,6432467,70349,0,0
"2022-1-13 17:1","Electrical Fault",0,4187079,51801,0,1
"2022-1-13 17:13","Heating",0,5613593,40671,1,1
"2022-1-13 17:18","Other",1,459009,65266,0,0
"2022-1-13 17:20","Other",0,283217,62866,0,1
"2022-1-13 17:22","Cooking",0,5036541,64632,0,1
"2022-1-13 17:50","Heating",0,7015992,107613,1,0
"2022-1-13 18:15","Electrical Fault",0,1125294,42310,1,1
"2022-1-13 18:15","Heating",0,4005847,75230,0,0
"2022-1-13 18:26","Heating",0,9387479,35482,1,1
"2022-1-13 18:40","Heating",0,9098008,61093,1,0
"2022-1-13 19:13","Heating",0,8534096,139488,0,0
"2022-1-13 19:20","Cooking",0,942150,50520,1,0
"2022-1-13 19:30","Other",0,2225417,65680,0,1
"2022-1-13 19:37","Electrical Fault",0,5252795,89601,1,1
