"Year","Month","Beagles","Dachshund","Maltese","Cats","BeaglesRescue","DachshundRescue","MalteseRescue","CatRescue"
1994,8,82961,111226,74415,295125,834,3364,1483,4384
1994,9,83150,111571,74533,295812,843,3261,1540,4475
1994,10,83365,111869,74674,295805,853,3311,1553,4383
1994,11,83300,111707,74554,296042,836,3327,1503,4449
1994,12,83218,111587,74418,296547,812,3277,1467,4408
1995,1,83090,111424,74358,296854,842,3351,1533,4409
1995,2,82960,111281,74260,296890,832,3377,1493,4545
1995,3,82825,111135,74197,297229,828,3271,1506,4462
1995,4,83060,111346,74418,298220,809,3409,1489,4479
1995,5,83299,111601,74560,297365,879,3319,1490,4477
1995,6,83205,111440,74469,297926,822,3331,1475,4508
1995,7,83424,111758,74583,297701,834,3443,1502,4577
1995,8,83623,112020,74785,298437,812,3355,1503,4525
1995,9,83846,112268,74967,297764,835,3328,1484,4349
1995,10,83730,112150,74864,298970,832,3416,1482,4538
1995,11,83622,111930,74822,297908,868,3401,1477,4515
1995,12,83821,112226,74979,298721,877,3396,1536,4420
1996,1,83688,112100,74905,298470,821,3321,1503,4471
1996,2,83589,111968,74769,299412,882,3471,1551,4482
1996,3,83504,111834,74636,298302,789,3498,1446,4493
1996,4,83721,112124,74788,298231,806,3343,1501,4485
1996,5,83668,111921,74681,298518,796,3394,1488,4353
1996,6,83931,112184,74799,298592,857,3378,1535,4410
1996,7,83777,112065,74738,300160,782,3384,1413,4464
1996,8,83699,111898,74635,299704,841,3347,1475,4521
1996,9,83598,111742,74542,300127,869,3251,1497,4518
1996,10,83770,112011,74755,299370,863,3339,1400,4492
1996,11,83642,111848,74691,299941,838,3319,1537,4450
1996,12,83846,112104,74888,300489,806,3389,1512,4540
1997,1,83733,111945,74813,300260,827,3422,1569,4499
1997,2,83629,111774,74732,299033,827,3418,1436,4383
1997,3,83880,111994,74917,300789,879,3314,1477,4418
1997,4,83763,111824,74845,300539,827,3392,1460,4452
1997,5,83683,111662,74747,300792,828,3245,1429,4541
1997,6,83567,111533,74654,299627,808,3327,1539,4486
1997,7,83506,111339,74556,300830,842,3338,1487,4560
1997,8,83399,111151,74508,300417,842,3365,1452,4558
1997,9,83575,111459,74661,301257,791,3407,1461,4463
1997,10,83485,111309,74548,301387,799,3408,1513,4509
1997,11,83708,111533,74729,300361,841,3291,1561,4486
1997,12,83916,111775,74913,301569,819,3350,1469,4588
1998,1,83789,111611,74831,301519,857,3221,1515,4547
1998,2,84025,111848,75019,301745,850,3281,1477,4577
1998,3,84272,112072,75181,301225,826,3416,1491,4468
1998,4,84453,112301,75415,301300,873,3327,1518,4492
1998,5,84333,112139,75334,301711,876,3379,1528,4454
1998,6,84570,112363,75515,302069,869,3274,1572,4592
1998,7,84737,112669,75706,301715,867,3513,1468,4523
1998,8,84942,112964,75860,303387,814,3454,1520,4483
1998,9,85143,113239,76030,302344,871,3403,1563,4410
1998,10,85032,113064,75969,302750,822,3366,1576,4564
1998,11,85208,113391,76115,302129,834,3382,1553,4556
1998,12,85086,113244,76028,302378,835,3408,1523,4629
1999,1,85012,113062,75950,301086,872,3363,1449,4611
1999,2,84912,112911,75840,302416,837,3351,1478,4500
1999,3,84796,112782,75734,303096,837,3432,1546,4487
1999,4,84707,112592,75657,302139,895,3314,1484,4621
1999,5,84624,112420,75563,303087,840,3402,1521,4660
1999,6,84539,112229,75490,301817,843,3477,1461,4430
1999,7,84476,112071,75378,303349,800,3409,1518,4605
1999,8,84385,111918,75294,303547,809,3325,1444,4570
1999,9,84578,112155,75508,303897,794,3410,1543,4660
1999,10,84779,112441,75669,303798,865,3380,1541,4635
1999,11,85025,112695,75819,302348,831,3483,1476,4636
1999,12,85218,112957,76000,303347,849,3436,1484,4612
2000,1,85413,113230,76173,304629,850,3402,1521,4635
2000,2,85291,113124,76053,302544,874,3333,1543,4568
2000,3,85193,112983,75960,303841,850,3429,1521,4504
2000,4,85059,112835,75900,303261,858,3321,1489,4543
2000,5,84910,112683,75838,303521,878,3405,1495,4550
2000,6,84773,112529,75784,303348,811,3358,1503,4568
2000,7,84661,112364,75710,303799,862,3376,1578,4524
2000,8,84857,112636,75891,304292,868,3387,1501,4601
2000,9,84719,112512,75796,304394,868,3416,1519,4470
2000,10,84628,112345,75706,303655,828,3296,1461,4518
2000,11,84527,112142,75664,303786,930,3257,1469,4554
2000,12,84722,112377,75871,303968,839,3354,1519,4593
2001,1,84908,112648,76076,303033,839,3401,1540,4456
2001,2,85048,112894,76349,302871,910,3445,1527,4613
2001,3,84925,112710,76301,303546,828,3381,1537,4597
2001,4,84773,112549,76264,304720,840,3439,1542,4524
2001,5,84632,112389,76216,303560,864,3313,1517,4556
2001,6,84829,112634,76419,303797,750,3452,1580,4583
2001,7,84690,112439,76390,303177,863,3294,1512,4507
2001,8,84874,112701,76592,303400,872,3440,1511,4425
2001,9,84757,112529,76542,303393,856,3476,1528,4561
2001,10,84969,112734,76757,303690,891,3379,1518,4652
2001,11,85135,112992,76976,304098,840,3406,1534,4598
2001,12,84982,112856,76922,304278,878,3410,1508,4637
2002,1,84848,112714,76836,304423,824,3285,1553,4514
2002,2,85049,112957,77058,304225,855,3273,1518,4449
2002,3,84894,112847,76993,303532,860,3307,1450,4610
2002,4,84793,112700,76864,303798,886,3439,1502,4641
2002,5,84946,112960,77099,303101,828,3400,1541,4550
2002,6,85103,113227,77322,302319,816,3363,1622,4484
2002,7,84990,113002,77294,304067,832,3444,1501,4664
2002,8,84852,112867,77209,303717,908,3409,1591,4587
2002,9,84741,112690,77141,303226,854,3403,1544,4614
2002,10,84915,112932,77388,304057,898,3373,1502,4458
2002,11,85088,113216,77580,303032,885,3342,1547,4481
2002,12,85275,113442,77820,303218,943,3329,1567,4467
2003,1,85138,113282,77771,303294,870,3463,1596,4601
2003,2,84999,113177,77670,304573,807,3451,1588,4613
2003,3,85172,113418,77901,303855,826,3440,1554,4578
2003,4,85354,113661,78134,304425,865,3344,1524,4533
2003,5,85547,113941,78321,303772,834,3388,1540,4479
2003,6,85467,113750,78260,302473,832,3344,1624,4505
2003,7,85634,114001,78471,303411,836,3489,1630,4651
2003,8,85492,113852,78422,304814,858,3399,1569,4490
2003,9,85684,114090,78654,303794,897,3485,1612,4572
2003,10,85547,113876,78658,303898,839,3284,1587,4596
2003,11,85717,114113,78880,303758,838,3437,1582,4520
2003,12,85897,114348,79125,303475,813,3350,1524,4671
2004,1,85784,114139,79102,303594,845,3372,1584,4584
2004,2,85670,113903,79071,303045,819,3355,1542,4564
2004,3,85841,114146,79294,303619,882,3370,1631,4626
2004,4,85998,114387,79545,303401,822,3396,1586,4579
2004,5,85864,114242,79469,302843,820,3412,1614,4507
2004,6,85953,114575,79676,303379,862,3531,1576,4582
2004,7,85838,114426,79584,302970,817,3428,1565,4451
2004,8,85990,114679,79844,303463,849,3433,1596,4502
2004,9,86130,114951,80063,303101,938,3519,1602,4420
2004,10,86256,115222,80306,304138,853,3373,1644,4630
2004,11,86131,115091,80213,302084,801,3482,1675,4546
2004,12,86269,115367,80469,302313,852,3576,1513,4480
2005,1,86119,115227,80420,302305,848,3429,1618,4538
2005,2,86006,115017,80380,303190,856,3428,1573,4548
2005,3,86181,115246,80625,302557,924,3427,1651,4544
2005,4,86024,115140,80546,302414,862,3536,1676,4581
2005,5,85863,114997,80500,302938,842,3467,1549,4501
2005,6,86002,115272,80735,302296,865,3469,1599,4514
2005,7,85838,115095,80724,303649,821,3403,1594,4574
2005,8,85673,114929,80677,302478,847,3547,1556,4553
2005,9,85877,115148,80916,301078,847,3421,1615,4508
2005,10,86031,115437,81119,302123,897,3452,1532,4579
2005,11,86221,115669,81355,303012,870,3463,1648,4429
2005,12,86364,115936,81612,302373,863,3557,1656,4582
2006,1,86466,116208,81880,301933,867,3421,1659,4522
2006,2,86600,116497,82099,302367,867,3525,1715,4558
2006,3,86486,116346,82017,303306,817,3498,1566,4587
2006,4,86334,116216,81941,302123,827,3443,1592,4503
2006,5,86467,116463,82197,302165,780,3538,1637,4622
2006,6,86324,116341,82101,302103,922,3427,1699,4557
2006,7,86164,116215,82043,301652,873,3472,1583,4493
2006,8,85985,116105,81985,301028,833,3580,1601,4438
2006,9,86133,116384,82203,301642,787,3506,1598,4546
2006,10,85963,116301,82101,302002,810,3383,1641,4562
2006,11,85778,116180,82045,301922,842,3520,1588,4472
2006,12,85884,116509,82272,302774,876,3507,1648,4526
2007,1,85960,116889,82470,302847,863,3549,1721,4614
2007,2,86094,117207,82673,302684,884,3534,1669,4533
2007,3,86237,117522,82870,301835,813,3643,1673,4468
2007,4,86419,117811,83063,302191,841,3489,1692,4475
2007,5,86259,117698,82997,302272,865,3617,1637,4561
2007,6,86136,117581,82876,300662,881,3480,1672,4412
2007,7,86301,117876,83078,301486,884,3502,1688,4464
2007,8,86412,118173,83311,301446,835,3575,1633,4563
2007,9,86581,118460,83503,301328,901,3600,1713,4496
2007,10,86433,118400,83379,301884,892,3532,1735,4463
2007,11,86297,118310,83244,302214,900,3562,1661,4470
2007,12,86406,118679,83412,301864,886,3497,1691,4599
2008,1,86280,118568,83305,301956,876,3581,1702,4644
2008,2,86409,118896,83521,301175,847,3509,1662,4400
2008,3,86570,119255,83646,301563,853,3604,1667,4587
2008,4,86475,119079,83548,300558,857,3509,1658,4505
2008,5,86352,118939,83462,301744,839,3656,1704,4533
2008,6,86204,118838,83365,301348,851,3554,1692,4522
2008,7,86416,119113,83533,301587,836,3574,1696,4556
2008,8,86305,118953,83452,302443,845,3682,1646,4567
2008,9,86463,119235,83665,300183,914,3635,1663,4614
2008,10,86598,119556,83855,301316,841,3649,1706,4587
2008,11,86487,119434,83736,299867,820,3705,1695,4526
2008,12,86345,119318,83635,300951,915,3422,1669,4636
2009,1,86221,119204,83536,300328,849,3640,1693,4502
2009,2,86400,119497,83723,301742,925,3616,1714,4464
2009,3,86558,119794,83929,301227,867,3632,1710,4637
2009,4,86676,120072,84184,300286,883,3682,1670,4442
2009,5,86571,119911,84076,301547,832,3492,1627,4556
2009,6,86452,119784,83975,301095,893,3465,1707,4419
2009,7,86327,119649,83881,300017,833,3634,1600,4523
2009,8,86136,119598,83774,299576,857,3601,1695,4451
2009,9,85963,119455,83726,300351,890,3616,1602,4629
2009,10,86099,119746,83963,3e+05,904,3605,1720,4450
2009,11,85952,119621,83874,300028,888,3581,1720,4410
2009,12,85836,119504,83745,299892,878,3542,1718,4420
2010,1,85703,119403,83617,299883,860,3574,1668,4490
2010,2,85569,119251,83530,299285,876,3523,1674,4509
2010,3,85778,119502,83728,299543,870,3496,1697,4474
2010,4,85985,119759,83935,299763,842,3641,1569,4463
2010,5,85875,119661,83806,299361,841,3527,1654,4486
2010,6,85983,119958,84027,299778,893,3573,1654,4557
2010,7,86131,120270,84209,299282,853,3511,1655,4457
2010,8,86007,120155,84115,298515,803,3645,1634,4414
2010,9,85891,120084,83965,298875,808,3689,1707,4434
2010,10,86067,120336,84169,299055,871,3700,1658,4562
2010,11,85951,120219,84052,299323,855,3654,1655,4587
2010,12,86106,120537,84213,299863,902,3672,1599,4495
2011,1,86016,120387,84119,299389,851,3561,1693,4479
2011,2,85858,120292,84020,299363,921,3632,1715,4454
2011,3,86022,120593,84184,298835,847,3594,1677,4438
2011,4,85912,120419,84103,298553,878,3577,1692,4482
2011,5,86069,120716,84275,298413,820,3475,1698,4465
2011,6,85977,120590,84177,297679,905,3619,1647,4437
2011,7,85886,120475,84047,298612,884,3571,1715,4433
2011,8,86090,120671,84304,298128,846,3590,1719,4491
2011,9,86301,120951,84462,298205,865,3657,1731,4564
2011,10,86160,120815,84373,298688,907,3530,1705,4419
2011,11,86308,121100,84593,298380,922,3556,1675,4427
2011,12,86190,120998,84457,298466,833,3647,1671,4417
2012,1,86073,120887,84333,298259,881,3552,1650,4467
2012,2,85933,120780,84219,297243,833,3683,1673,4482
2012,3,85810,120690,84086,297384,859,3606,1756,4451
2012,4,85698,120592,83937,296574,894,3611,1625,4416
2012,5,85887,120858,84117,297430,806,3613,1743,4514
2012,6,86000,121168,84342,296521,860,3638,1712,4418
2012,7,85884,121031,84258,297212,863,3594,1727,4394
2012,8,85796,120871,84169,297138,819,3662,1747,4483
2012,9,85937,121181,84366,297298,842,3577,1686,4551
2012,10,86121,121532,84497,297632,856,3660,1713,4459
2012,11,86044,121356,84403,297843,813,3593,1662,4447
2012,12,85963,121242,84264,296506,834,3652,1613,4480
2013,1,86112,121568,84420,296451,829,3590,1709,4446
2013,2,86251,121846,84641,296779,831,3605,1687,4482
2013,3,86134,121713,84539,296024,877,3503,1735,4509
2013,4,85989,121621,84441,296214,866,3591,1727,4320
2013,5,86089,121990,84621,294948,838,3680,1705,4405
2013,6,85959,121899,84509,296143,838,3636,1734,4420
2013,7,85785,121778,84445,296155,884,3706,1632,4442
2013,8,85976,122089,84600,294969,874,3754,1669,4378
2013,9,86107,122393,84807,295456,903,3590,1730,4380
2013,10,86008,122255,84695,295201,799,3705,1727,4406
2013,11,86145,122560,84919,294773,913,3634,1635,4457
2013,12,86024,122423,84831,296731,845,3598,1745,4523
2014,1,86167,122745,85025,294397,880,3755,1721,4521
2014,2,86369,123020,85212,295044,851,3777,1774,4417
2014,3,86260,122914,85108,295728,892,3762,1654,4397
2014,4,86468,123187,85275,294748,833,3660,1714,4439
2014,5,86339,123103,85148,294705,846,3665,1722,4417
2014,6,86494,123450,85313,294823,826,3747,1712,4444
2014,7,86397,123303,85225,294022,872,3703,1729,4365
2014,8,86273,123203,85104,295032,862,3742,1692,4382
2014,9,86419,123544,85263,294347,833,3627,1704,4410
2014,10,86306,123432,85127,293927,842,3698,1684,4486
2014,11,86188,123319,85013,294165,847,3682,1766,4396
2014,12,86088,123180,84891,293736,889,3807,1632,4274
2015,1,85964,123026,84806,294022,911,3637,1697,4377
2015,2,85854,122917,84678,294037,899,3662,1603,4356
2015,3,86043,123225,84843,293534,901,3713,1720,4413
2015,4,86209,123516,85026,293081,847,3721,1708,4343
2015,5,86080,123449,84868,293381,814,3707,1653,4392
2015,6,85950,123316,84781,292782,886,3725,1640,4296
2015,7,86138,123624,84937,292673,901,3743,1637,4237
2015,8,85991,123533,84837,293286,829,3813,1702,4350
2015,9,86166,123743,85090,292935,849,3663,1739,4305
2015,10,86056,123598,84987,291652,932,3676,1684,4423
2015,11,86210,123961,85138,292577,891,3646,1716,4334
2015,12,86381,124294,85294,293268,894,3735,1777,4354
2016,1,86543,124645,85437,293887,893,3734,1662,4491
2016,2,86701,124931,85641,291933,852,3815,1724,4436
2016,3,86584,124790,85556,291591,873,3782,1672,4354
2016,4,86754,125080,85739,291851,915,3807,1699,4338
2016,5,86894,125429,85882,291034,858,3825,1670,4350
2016,6,86769,125310,85779,291963,893,3703,1747,4335
2016,7,86651,125190,85681,291545,817,3728,1747,4387
2016,8,86533,125056,85577,290997,877,3706,1700,4395
2016,9,86706,125356,85761,289319,855,3782,1669,4399
2016,10,86570,125252,85631,292010,828,3758,1694,4319
2016,11,86491,125098,85507,291305,857,3784,1706,4420
2016,12,86670,125398,85668,291033,858,3662,1755,4360
2017,1,86910,125677,85795,290001,859,3832,1732,4391
2017,2,86773,125584,85658,290292,879,3728,1649,4350
2017,3,86651,125455,85558,289593,867,3875,1694,4392
2017,4,86502,125349,85460,289722,852,3653,1710,4321
2017,5,86601,125767,85577,289637,850,3743,1715,4311
2017,6,86733,126120,85716,290173,892,3753,1666,4319
2017,7,86888,126486,85841,289733,880,3855,1691,4340
2017,8,86791,126370,85701,289589,905,3753,1703,4336
2017,9,86988,126697,85827,288778,867,3783,1684,4483
2017,10,87153,127083,85916,288688,856,3783,1733,4252
2017,11,87315,127430,86056,289743,909,3837,1725,4341
2017,12,87450,127799,86207,289594,922,3808,1784,4290
2018,1,87640,128139,86328,289003,882,3779,1751,4297
2018,2,87819,128510,86425,289777,885,3769,1722,4398
2018,3,87681,128430,86290,287657,866,3895,1683,4346
2018,4,87847,128785,86423,289177,933,3844,1731,4255
2018,5,88024,129121,86567,287919,875,3910,1759,4399
2018,6,88202,129480,86676,288465,843,3917,1709,4272
2018,7,88085,129420,86518,287739,915,3817,1713,4238
2018,8,87959,129337,86381,287282,853,3933,1742,4303
2018,9,88096,129738,86491,287913,897,3913,1677,4359
2018,10,88263,130070,86638,286756,915,3845,1736,4338
2018,11,88155,130015,86484,287619,825,3892,1742,4254
2018,12,88080,129931,86292,286652,860,3799,1710,4260
2019,1,88243,130309,86395,286918,858,3952,1793,4150
2019,2,88495,130562,86548,286909,894,3869,1813,4393
2019,3,88690,130897,86668,285837,973,3832,1785,4278
2019,4,88600,130759,86534,285562,836,3895,1721,4253
2019,5,88797,131117,86631,286866,949,3899,1714,4314
2019,6,88656,131032,86508,285837,864,3934,1767,4308
2019,7,88823,131335,86680,285994,921,3934,1742,4238
2019,8,89066,131656,86773,285079,922,4014,1697,4166
2019,9,89020,131529,86597,285744,825,3936,1708,4315
2019,10,89225,131877,86704,285551,828,3983,1746,4301
2019,11,89088,131780,86583,285568,893,3980,1673,4317
2019,12,89244,132113,86730,284826,940,3910,1705,4296
2020,1,89158,132003,86599,285343,894,3946,1727,4303
2020,2,89364,132342,86741,285066,891,3941,1832,4199
2020,3,89322,132252,86577,284146,866,3915,1787,4309
2020,4,89539,132597,86703,284081,916,4062,1751,4251
2020,5,89723,132948,86840,284048,898,4045,1771,4233
2020,6,89939,133291,86977,283694,880,3947,1765,4301
2020,7,90196,133642,87083,284795,928,3951,1749,4271
2020,8,90412,134018,87198,283075,904,3992,1792,4284
2020,9,90590,134477,87273,283345,889,4035,1717,4286
2020,10,90484,134407,87165,283261,895,4062,1818,4298
2020,11,90640,134783,87340,283404,920,4178,1726,4219
2020,12,90559,134702,87195,282946,937,4040,1749,4314
2021,1,90428,134594,87129,282343,893,4023,1699,4266
2021,2,90578,135019,87247,282074,894,3981,1710,4261
2021,3,90792,135370,87390,283610,838,4103,1773,4326
2021,4,90947,135759,87552,281441,929,4059,1801,4310
2021,5,91160,136111,87687,281843,931,4063,1808,4275
2021,6,91096,136048,87496,281417,963,4093,1708,4168
2021,7,91286,136403,87662,281514,901,4043,1785,4240
2021,8,91191,136343,87509,281553,935,4120,1792,4204
2021,9,91389,136671,87666,280745,957,4001,1814,4158
2021,10,91285,136587,87556,280280,897,4087,1647,4174
2021,11,91455,136928,87716,280401,913,4044,1735,4207
2021,12,91656,137253,87878,280747,965,4144,1751,4248
2022,1,91539,137113,87753,279949,940,4134,1762,4163
2022,2,91391,137021,87602,280197,916,4047,1746,4298
2022,3,91266,136891,87451,279342,930,4079,1794,4237
2022,4,91189,136701,87327,279318,913,4191,1815,4173
2022,5,91050,136562,87255,279032,882,4033,1772,4103
2022,6,91223,136890,87364,278948,924,4046,1772,4106
2022,7,91115,136758,87226,278947,924,4011,1719,4068
2022,8,91037,136606,87076,278569,867,4137,1731,4147
2022,9,90958,136450,86938,278764,910,4103,1742,4223
2022,10,91132,136763,87077,278254,911,4039,1757,4087
2022,11,91399,137011,87188,277704,942,4111,1797,4188
2022,12,91333,136880,87010,278737,926,4115,1723,4207
2023,1,91214,136765,86879,278689,928,4147,1680,4245
2023,2,91410,137090,86991,278283,879,4141,1773,4131
2023,3,91328,136955,86815,277230,892,4031,1805,4264
2023,4,91246,136788,86684,276874,932,4209,1789,4040
2023,5,91149,136617,86566,277448,901,4050,1788,4107
2023,6,91029,136479,86435,277546,896,4013,1754,4282
2023,7,91222,136754,86611,275785,876,4087,1677,4166
2023,8,91143,136614,86466,276351,953,4112,1724,4148
2023,9,91027,136472,86344,276027,934,4117,1692,3983
